file,uuid,title,artist,date,w,h,tags,status
a-new-device-to-cleave-wild-beasts-from-head-to-tail__cc7ec694.jpg,cc7ec694-7ad0-4426-80a1-5ce7b5381d1c,A new device to cleave wild beasts from Head to Tail.,Filippo Morghen,1776,1919,1418,moon,have
a-savage-mounted-on-a-winged-serpent-battling-with-a-wild-be__e1745bcb.jpg,e1745bcb-4f13-4992-b764-b77278c304b7,A Savage mounted on a winged Serpent battling with a wild beast resembling a Porcupine.,Filippo Morghen,1776,1893,1407,moon,have
the-manner-of-sailing-by-the-power-of-bellows-practiced-on-t__f454ebc9.jpg,f454ebc9-7849-4dae-a8f3-451723807b00,The Manner of sailing by the power of Bellows practiced on that Planet.,Filippo Morghen,1776,1886,1404,moon,have
the-carriages-used-on-the-moon-and-which-move-by-sails__fdd4be5e.jpg,fdd4be5e-993f-47e5-8e05-100cbbdb574c,The Carriages used on the Moon and which move by sails.,Filippo Morghen,1776,1898,1404,moon,have
full-moon-with-white-rabbit__a53a0f4b.jpg,a53a0f4b-6ceb-43db-a288-1377afc58367,Full Moon with White Rabbit,Ohara Koson,ca. 1920,551,1000,moon,have
saturn-as-it-appeared-to-various-previous-observers__c4fb6903.jpg,c4fb6903-0ac3-4667-9934-453a4abe3778,Saturn as It Appeared to Various Previous Observers,Christiaan Huygens,1659,2704,2604,moon,have
another-ancient-bent-trumpet__6c86037b.jpg,6c86037b-730c-4521-b7e1-6912b5a5d4d8,Another ancient bent trumpet,Filippo Buonanni,1722,835,1200,moon,have
tsuba-with-bugs-flowers-and-moon-design__2107aaa8.jpg,2107aaa8-efc7-4838-b96c-8839b3a35b28,"Tsuba with bugs, flowers, and moon design.",Georg Oeder,1916,600,634,moon,have
the-wave__24945a15.jpg,24945a15-b064-4d97-9326-d34997f34b53,The Wave,W. T. Horton,1898,600,768,moon,have
mystical-shore__88d9b925.jpg,88d9b925-08c0-44fa-a2fc-f86651595860,Mystical Shore,Edvard Munch,1897,1024,706,moon,have
hideyoshi-and-the-moon-at-shizugatake__e6e21c60.jpg,e6e21c60-926b-48ed-b5db-9f96e8f1d798,Hideyoshi and the Moon at Shizugatake,Tsukioka Yoshitoshi,1888,819,1200,moon,have
fukami-jikyu-in-moonlight__f00837f1.jpg,f00837f1-c10d-4862-a733-8b0edfafbdb5,Fukami Jikyu In Moonlight,Tsukioka Yoshitoshi,1887,839,1200,moon,have
moon-and-smoke__61d5c4e7.jpg,61d5c4e7-ba47-42cb-85b8-597ad57d0ac7,Moon and Smoke,Tsukioka Yoshitoshi,1886,824,1200,"moon,sun",have
four-diagrams-of-lunar-eclipses__f12b543c.jpeg,f12b543c-f895-4b06-912b-b7e541843244,Four Diagrams of Lunar Eclipses,Johannes Buno,ca. 1711,731,1024,moon,have
cover-for-em-from-the-earth-to-the-moon-em__ecbc1e8b.jpg,ecbc1e8b-28b5-4ffc-9e0c-1efaa7b82217,Cover for <em>From the Earth to the Moon</em>,,1873,457,680,"moon,space",have
women-bathing-before-an-architectural-panorama__2eca2af2.jpg,2eca2af2-abd0-4f2c-9ebc-ed185143c557,Women bathing before an architectural panorama,Fayzullah,ca. 1765,581,800,moon,have
cuckoo-and-pine__f15a7f88.jpg,f15a7f88-0c84-4086-824b-8bb2a2536b9a,Cuckoo and Pine,Utagawa Hiroshige,1840,1000,782,moon,have
the-unfortunate-one-had-disappeared__5c30e44a.jpg,5c30e44a-c2b9-4e95-8cb0-c9c6872a525c,The Unfortunate One Had Disappeared,Émile-Antoine Bayard,1870,542,800,moon,have
i-would-give-twenty-pistoles__bfc49fc9.jpg,bfc49fc9-8ab9-4399-9de5-e2bc150f0b34,I Would Give Twenty Pistoles,Émile-Antoine Bayard,1870,541,800,moon,have
it-seems-to-me-that-i-see-them__b35f2360.jpg,b35f2360-ef7a-406d-8bea-ecac0938f1fa,It Seems to Me That I See Them,Émile-Antoine Bayard,1870,537,800,moon,have
the-instrument-mounted__d74ceac3.jpg,d74ceac3-8715-4e56-9ec5-0c681b115ed7,The Instrument Mounted,Émile-Antoine Bayard,1870,545,800,moon,have
then-began-a-round__df23f3c7.jpg,df23f3c7-6182-43c1-8079-1c7cf4f1ea22,Then Began a Round,Émile-Antoine Bayard,1870,542,800,moon,have
the-sun__ea0086d3.jpg,ea0086d3-832c-4648-ae41-2bf48e9f13be,The Sun...,Émile-Antoine Bayard,1870,538,800,moon,have
i-would-be-nothing-but-a-pygmy__e6a7f095.jpg,e6a7f095-796c-48c2-99da-fa96cdb66c6d,I Would Be Nothing But a Pygmy,Émile-Antoine Bayard,1870,551,800,moon,have
the-descent-began-at-1-25__fbd04285.jpg,fbd04285-ec18-4036-8550-f1ad5bccd744,The Descent Began at 1:25,Émile-Antoine Bayard,1870,544,800,moon,have
so-this-is-how__fe8419d6.jpg,fe8419d6-7c53-477c-b932-9aa863e8e3b6,So This Is How,Émile-Antoine Bayard,1870,546,800,moon,have
